date ,ville,produit,prix
2021_Ad Dakhla,15528.193
2020_Marrakech,109202.587
2020_Inezgane,66242.342
2020_Guelmim,75337.70999999999
2020_Kenitra,129840.834
2021_Temara,8680.141
2020_Ad Dakhla,16850.372
2021_Ben Gueri,2107.099
2019_Agadir,12484.74
2020_Sidi Slimane,199364.18500000003
2020_Essaouira,124884.69899999998
2021_Oujda,19297.327
2020_Tineghir,1410.18
2020_El Kelaa des Srarhna,181711.51599999997
2022_Temara,18978.247
2020_Boujad,19821.287
2023_Guercif Oulad,94200.35299999999
2019_Kouribga,53104.721000000005
2019_Essaouira,34124.231999999996
2021_Al Fqih Ben,4940.274
2020_Casablanca,85400.31199999999
2021_Mohammedia,94391.29899999998
2019_Larach,94059.21200000001
2022_Qasbat Tadla,118166.463
